zip,violent crime,property crime
02006,,
02007,,
02008,,
02009,,
02010,,
02011,,
02012,,
02013,,
02014,,
02015,,
02016,,
02017,,
02018,,
02019,15.4,21.2
02020,,
02021,18.3,22.3
02022,,
02023,,
02024,,
02025,7.1,12.5
02026,20.7,28.9
02027,,
02028,,
02029,,
02030,5.0,5.0
02031,,
02032,9.9,15.2
02033,,
02034,,
02035,19.6,24.7
02036,,
02037,,
02038,10.7,15.0
02039,,
02040,,
02041,,
02042,,
02043,11.1,17.0
02044,,
02045,25.3,29.8
02046,,
02047,52.9,57.2
02048,14.1,20.2
02049,,
02050,18.3,23.2
02051,,
02052,3.6,7.5
02053,9.5,13.9
02054,9.0,14.0
02055,,
02056,8.4,11.3
02057,,
02058,,
02059,,
02060,,
02061,7.3,11.1
02062,24.5,30.4
02063,,
02064,,
02065,,
02066,11.5,15.7
02067,6.3,9.9
02068,,
02069,,
02070,,
02071,16.2,20.5
02072,26.2,31.3
02073,,
02074,,
02075,,
02076,,
02077,,
02078,,
02079,,
02080,,
02081,10.3,15.7
02082,,
02083,,
02084,,
02085,,
02086,,
02087,,
02088,,
02089,,
02090,7.4,12.4
02091,,
02092,,
02093,11.2,18.4
02094,,
02095,,
02096,,
02097,,
02098,,
02099,,
02100,,
02101,,
02102,,
02103,,
02104,,
02105,,
02106,,
02107,,
02108,30.6,30.7
02109,38.6,40.3
02110,31.3,31.2
02111,46.0,46.9
02112,,
02113,49.8,52.5
02114,46.3,48.8
02115,48.7,47.5
02116,35.7,36.8
02117,,
02118,57.1,57.8
02119,67.6,66.9
02120,56.0,55.0
02121,69.4,68.8
02122,64.3,64.7
02123,,
02124,69.1,68.6
02125,64.7,65.4
02126,67.9,68.3
02127,56.1,57.1
02128,65.1,66.0
02129,46.9,47.3
02130,46.9,47.4
02131,47.5,47.3
02132,31.8,30.8
02133,,
02134,57.0,58.9
02135,50.0,52.1
02136,52.8,52.5
02137,,
02138,25.0,32.9
02139,36.0,44.0
02140,40.5,48.3
02141,38.5,46.4
02142,26.3,35.4
02143,37.1,45.6
02144,33.7,42.1
02145,39.6,47.1
02146,,
02147,,
02148,37.0,42.4
02149,45.8,51.0
02150,65.1,66.8
02151,42.9,47.6
02152,31.9,34.7
02153,,
02154,,
02155,25.3,31.5
02156,,
02157,,
02158,,
02159,,
02160,,
02161,,
02162,,
02163,24.9,27.9
02164,,
02165,,
02166,,
02167,,
02168,,
02169,37.0,41.9
02170,30.0,34.4
02171,28.8,33.0
02172,,
02173,,
02174,,
02175,,
02176,18.1,23.1
02177,,
02178,,
02179,,
02180,19.7,25.2
02181,,
02182,,
02183,,
02184,21.7,28.3
02185,,
02186,12.9,18.2
02187,,
02188,28.4,33.0
02189,39.2,43.0
02190,22.1,26.0
02191,21.6,25.0
02192,,
02193,,
02194,,
02195,,
02196,,
02197,,
02198,,
02199,35.4,38.2
02200,,
02201,,
02202,,
02203,,
02204,,
02205,,
02206,,
02207,,
02208,,
02209,,
02210,33.3,33.8
02211,,
02212,,
02213,,
02214,,
02215,45.8,44.5
02216,,
02217,,
02218,,
02219,,
02220,,
02221,,
02222,,
02223,,
02224,,
02225,,
02226,,
02227,,
02228,,
02229,,
02230,,
02231,,
02232,,
02233,,
02234,,
02235,,
02236,,
02237,,
02238,,
02239,,
02240,,
02241,,
02242,,
02243,,
02244,,
02245,,
02246,,
02247,,
02248,,
02249,,
02250,,
02251,,
02252,,
02253,,
02254,,
02255,,
02256,,
02257,,
02258,,
02259,,
02260,,
02261,,
02262,,
02263,,
02264,,
02265,,
02266,,
02267,,
02268,,
02269,,
02270,,
02271,,
02272,,
02273,,
02274,,
02275,,
02276,,
02277,,
02278,,
02279,,
02280,,
02281,,
02282,,
02283,,
02284,,
02285,,
02286,,
02287,,
02288,,
02289,,
02290,,
02291,,
02292,,
02293,,
02294,,
02295,,
02296,,
02297,,
02298,,
02299,,
02300,,
02301,59.0,59.9
02302,44.5,44.5
02303,,
02304,,
02305,,
02306,,
02307,,
02308,,
02309,,
02310,,
02311,,
02312,,
02313,,
02314,,
02315,,
02316,,
02317,,
02318,,
02319,,
02320,,
02321,,
02322,23.0,33.6
02323,,
02324,19.7,22.6
02325,,
02326,,
02327,,
02328,,
02329,,
02330,15.6,18.9
02331,,
02332,8.3,11.7
02333,18.1,23.4
02334,,
02335,,
02336,,
02337,,
02338,12.3,17.0
02339,8.9,14.7
02340,,
02341,10.3,13.3
02342,,
02343,18.0,21.9
02344,,
02345,,
02346,21.0,24.6
02347,10.8,16.1
02348,,
02349,,
02350,,
02351,21.2,27.3
02352,,
02353,,
02354,,
02355,,
02356,10.2,15.1
02357,27.8,32.6
02358,,
02359,11.8,16.1
02360,20.6,23.5
02361,,
02362,,
02363,,
02364,16.4,20.9
02365,,
02366,,
02367,12.8,17.0
02368,34.2,38.6
02369,,
02370,24.7,31.4
02371,,
02372,,
02373,,
02374,,
02375,18.3,23.0
02376,,
02377,,
02378,,
02379,16.0,21.4
02380,,
02381,,
02382,26.0,29.7
02383,,
02384,,
02385,,
02386,,
02387,,
02388,,
02389,,
02390,,
02391,,
02392,,
02393,,
02394,,
02395,,
02396,,
02397,,
02398,,
02399,,
02400,,
02401,,
02402,,
02403,,
02404,,
02405,,
02406,,
02407,,
02408,,
02409,,
02410,,
02411,,
02412,,
02413,,
02414,,
02415,,
02416,,
02417,,
02418,,
02419,,
02420,3.0,7.2
02421,8.2,13.3
02422,,
02423,,
02424,,
02425,,
02426,,
02427,,
02428,,
02429,,
02430,,
02431,,
02432,,
02433,,
02434,,
02435,,
02436,,
02437,,
02438,,
02439,,
02440,,
02441,,
02442,,
02443,,
02444,,
02445,22.2,28.6
02446,26.5,33.7
02447,,
02448,,
02449,,
02450,,
02451,25.1,31.3
02452,19.4,25.3
02453,30.6,37.5
02454,,
02455,,
02456,,
02457,18.1,25.1
02458,9.2,14.3
02459,7.8,11.0
02460,8.9,13.6
02461,8.2,12.1
02462,8.9,13.7
02463,,
02464,8.7,13.3
02465,8.1,11.8
02466,8.4,12.8
02467,12.2,18.3
02468,6.9,9.1
02469,,
02470,,
02471,,
02472,26.9,33.4
02473,,
02474,20.4,26.1
02475,,
02476,16.9,22.3
02477,,
02478,16.9,22.8
02479,,
02480,,
02481,5.2,9.9
02482,6.2,11.3
02483,,
02484,,
02485,,
02486,,
02487,,
02488,,
02489,,
02490,,
02491,,
02492,4.5,9.0
02493,6.3,9.5
02494,14.9,20.3
02495,,
02496,,
02497,,
02498,,
02499,,
02500,,
02501,,
02502,,
02503,,
02504,,
02505,,
02506,,
02507,,
02508,,
02509,,
02510,,
02511,,
02512,,
02513,,
02514,,
02515,,
02516,,
02517,,
02518,,
02519,,
02520,,
02521,,
02522,,
02523,,
02524,,
02525,,
02526,,
02527,,
02528,,
02529,,
02530,,
02531,,
02532,20.6,26.0
02533,,
02534,23.3,29.5
02535,28.5,34.7
02536,25.1,31.4
02537,16.0,20.4
02538,47.3,50.6
02539,28.1,35.7
02540,21.8,28.9
02541,,
02542,28.7,37.7
02543,26.4,31.9
02544,,
02545,,
02546,,
02547,,
02548,,
02549,,
02550,,
02551,,
02552,,
02553,,
02554,29.2,37.0
02555,,
02556,14.8,21.3
02557,28.8,36.1
02558,39.5,44.1
02559,20.7,26.7
02560,,
02561,33.6,37.5
02562,14.3,19.1
02563,15.3,19.9
02564,18.2,26.4
02565,,
02566,,
02567,,
02568,42.2,45.6
02569,,
02570,,
02571,42.6,46.3
02572,,
02573,,
02574,,
02575,20.6,25.8
02576,25.9,28.0
02577,,
02578,,
02579,,
02580,,
02581,,
02582,,
02583,,
02584,22.2,38.8
02585,,
02586,,
02587,,
02588,,
02589,,
02590,,
02591,,
02592,,
02593,,
02594,,
02595,,
02596,,
02597,,
02598,,
02599,,
02600,,
02601,52.3,51.7
02602,,
02603,,
02604,,
02605,,
02606,,
02607,,
02608,,
02609,,
02610,,
02611,,
02612,,
02613,,
02614,,
02615,,
02616,,
02617,,
02618,,
02619,,
02620,,
02621,,
02622,,
02623,,
02624,,
02625,,
02626,,
02627,,
02628,,
02629,,
02630,23.7,22.2
02631,18.1,23.5
02632,26.3,24.5
02633,20.4,27.1
02634,,
02635,25.7,23.9
02636,,
02637,19.9,18.6
02638,15.9,21.0
02639,39.7,45.4
02640,,
02641,21.9,27.6
02642,21.3,26.6
02643,,
02644,8.8,13.1
02645,18.9,24.9
02646,23.0,29.7
02647,22.9,22.0
02648,23.3,21.4
02649,22.9,26.7
02650,15.7,23.2
02651,,
02652,25.2,28.6
02653,23.6,31.3
02654,,
02655,26.3,24.8
02656,,
02657,39.6,45.8
02658,,
02659,25.6,32.5
02660,25.2,30.2
02661,,
02662,,
02663,5.0,11.4
02664,33.2,35.1
02665,,
02666,37.7,40.8
02667,36.0,41.4
02668,29.9,27.8
02669,20.6,27.1
02670,25.6,31.3
02671,21.2,26.6
02672,26.0,24.8
02673,31.7,33.3
02674,,
02675,26.6,27.6
02676,,
02677,,
02678,,
02679,,
02680,,
02681,,
02682,,
02683,,
02684,,
02685,,
02686,,
02687,,
02688,,
02689,,
02690,,
02691,,
02692,,
02693,,
02694,,
02695,,
02696,,
02697,,
02698,,
02699,,
02700,,
02701,,
02702,13.5,17.1
02703,27.6,34.2
02704,,
02705,,
02706,,
02707,,
02708,,
02709,,
02710,,
02711,,
02712,,
02713,9.8,15.6
02714,,
02715,13.3,15.7
02716,,
02717,17.8,21.7
02718,20.6,23.0
02719,24.6,30.8
02720,53.5,53.4
02721,62.2,61.5
02722,,
02723,67.5,66.2
02724,62.1,61.7
02725,27.7,31.6
02726,20.4,24.2
02727,,
02728,,
02729,,
02730,,
02731,,
02732,,
02733,,
02734,,
02735,,
02736,,
02737,,
02738,15.0,20.4
02739,16.6,21.3
02740,61.7,65.2
02741,,
02742,,
02743,21.0,23.4
02744,66.6,69.3
02745,46.2,49.3
02746,67.3,70.0
02747,20.5,27.7
02748,24.8,32.0
02749,,
02750,,
02751,,
02752,,
02753,,
02754,,
02755,,
02756,,
02757,,
02758,,
02759,,
02760,21.4,28.1
02761,,
02762,14.3,20.7
02763,16.4,22.4
02764,14.2,16.9
02765,,
02766,12.3,16.0
02767,16.2,22.5
02768,,
02769,8.5,12.6
02770,7.7,10.5
02771,14.9,21.1
02772,,
02773,,
02774,,
02775,,
02776,,
02777,15.3,20.7
02778,,
02779,6.6,9.4
02780,39.8,42.9
02781,,
02782,,
02783,,
02784,,
02785,,
02786,,
02787,,
02788,,
02789,,
02790,18.3,23.0
02791,42.7,48.5
02792,,
02793,,
02794,,
02795,,
02796,,
02797,,
02798,,
02799,,
02800,,
02801,,
02802,40.2,49.5
02803,,
02804,10.8,16.2
02805,,
02806,7.3,13.1
02807,28.8,39.2
02808,20.7,27.5
02809,21.9,27.7
02810,,
02811,,
02812,7.0,9.6
02813,19.6,25.3
02814,17.1,20.6
02815,5.0,5.0
02816,22.0,27.7
02817,12.1,17.9
02818,14.7,20.9
02819,,
02820,,
02821,,
02822,14.9,19.3
02823,,
02824,,
02825,13.2,17.9
02826,31.6,35.0
02827,8.3,13.5
02828,16.9,21.9
02829,,
02830,24.7,28.8
02831,11.0,15.2
02832,13.9,19.6
02833,10.4,15.9
02834,,
02835,12.8,17.7
02836,8.7,13.8
02837,18.4,24.6
02838,44.6,52.4
02839,35.7,38.8
02840,39.3,50.4
02841,,
02842,29.0,36.3
02843,,
02844,,
02845,,
02846,,
02847,,
02848,,
02849,,
02850,,
02851,,
02852,20.6,27.0
02853,,
02854,,
02855,,
02856,,
02857,14.0,18.1
02858,23.6,29.6
02859,27.0,31.0
02860,56.8,65.4
02861,37.7,45.9
02862,,
02863,63.9,67.5
02864,20.1,25.4
02865,23.7,30.9
02866,,
02867,,
02868,,
02869,,
02870,,
02871,17.6,23.1
02872,34.1,40.6
02873,12.3,18.6
02874,6.9,12.4
02875,8.7,14.0
02876,53.3,59.8
02877,,
02878,17.0,23.0
02879,20.8,26.7
02880,,
02881,11.3,17.8
02882,22.3,28.7
02883,,
02884,,
02885,37.1,45.2
02886,24.8,32.7
02887,,
02888,21.8,29.0
02889,22.0,29.4
02890,,
02891,27.8,35.9
02892,8.1,12.3
02893,37.4,42.8
02894,14.3,19.1
02895,55.5,62.2
02896,17.6,24.2
02897,,
02898,7.7,11.6
02899,,
02900,,
02901,,
02902,,
02903,52.7,67.6
02904,43.8,49.8
02905,55.7,70.0
02906,27.9,53.1
02907,65.6,75.9
02908,54.8,69.7
02909,66.1,76.3
02910,32.8,39.2
02911,34.0,40.0
02912,,
02913,,
02914,44.7,50.4
02915,33.6,39.4
02916,22.3,27.8
02917,13.0,18.6
02918,,
02919,28.7,35.2
02920,35.2,42.0
02921,9.6,15.6
02922,,
02923,,
02924,,
02925,,
02926,,
02927,,
02928,,
02929,,
02930,,
02931,,
02932,,
02933,,
02934,,
02935,,
02936,,
02937,,
02938,,
02939,,
02940,,
02941,,
02942,,
02943,,
02944,,
02945,,
02946,,
02947,,
02948,,
02949,,
02950,,
02951,,
02952,,
02953,,
02954,,
02955,,
02956,,
02957,,
02958,,
02959,,
02960,,
02961,,
02962,,
02963,,
02964,,
02965,,
02966,,
02967,,
02968,,
02969,,
02970,,
02971,,
02972,,
02973,,
02974,,
02975,,
02976,,
02977,,
02978,,
02979,,
02980,,
02981,,
02982,,
02983,,
02984,,
02985,,
02986,,
02987,,
02988,,
02989,,
02990,,
02991,,
02992,,
02993,,
02994,,
02995,,
02996,,
02997,,
02998,,
02999,,
03000,,
03001,,
03002,,
03003,,
03004,,
03005,,
03006,,
03007,,
03008,,
03009,,
03010,,
03011,,
03012,,
03013,,
03014,,
03015,,
03016,,
03017,,
03018,,
03019,,
03020,,
03021,,
03022,,
03023,,
03024,,
03025,,
03026,,
03027,,
03028,,
03029,,
03030,,
03031,3.2,9.7
03032,5.1,9.6
03033,2.4,5.5
03034,10.8,15.5
03035,,
03036,6.4,9.9
03037,10.7,15.3
